day,average_speed,average_size,average_intelligence
287,28.046527510087017,1.4441708861100326,3.3289694049892886
288,26.94824570752009,1.4740289654827368,3.2724482471815075
289,27.03228018862929,1.4444236076141133,3.3482199417808496
290,27.032563983227476,1.4632679835412263,3.280246482596647
291,27.41101248153816,1.466684577174807,3.212435668235447
292,26.996871548420945,1.4365785616968791,3.28174531772361
293,27.254271367702316,1.460267197776406,3.227534305753071
294,26.65579557210444,1.4001417044706455,3.3039342073646116
295,26.584456662575224,1.371654416436703,3.343786085014025
296,26.348289311927342,1.3826305563409849,3.3783313246595483
297,25.946978006548544,1.407708263598169,3.4270697357010063
298,27.017369153562274,1.4428884651485754,3.3727238981959617
299,26.503361435931595,1.4498044472647702,3.3201196480973767
300,25.80379881754661,1.4405082012340058,3.3734830570987997
301,25.510590568708178,1.4540142638478872,3.289682628345153
302,25.492755935034005,1.4593750241769077,3.2178939128961543
303,26.228680824000772,1.422424643646243,3.3069130658328465
304,26.531886264198544,1.419801098512945,3.27700243130434
305,26.79345588661468,1.4191953298016522,3.2087080202482063
306,26.57236015183146,1.4206507243648476,3.165127168270698
307,25.838871449086465,1.4375065319017721,3.131653956165994
308,26.679029132725212,1.4286073477367203,3.1484413989209394
309,26.311053501486768,1.4137412846642876,3.2522888141582666
310,25.85265784274708,1.4330459386579018,3.2583616598147622
311,25.38491072248243,1.4076034402925135,3.271052180397441
312,25.40193359307576,1.4209136456648088,3.223708040221692
313,25.293277658255153,1.4276387826898174,3.282934982124248
314,24.437087558812387,1.4366393533382669,3.279147681862303
315,24.316875888160613,1.433356804231895,3.2436014633029417
316,24.555431228594834,1.3934879734323484,3.3701474186791334
317,24.74183483917983,1.4117662824943338,3.332644287433294
318,24.92454975028993,1.4172384371774878,3.2863474271553876
319,25.195224761791778,1.4198969612266907,3.3438639096649605
320,25.549581511999193,1.4238625979928978,3.280608683371011
321,26.221945983142902,1.4229334884234537,3.2742963073317966
322,26.470068001117077,1.4218850380767887,3.1846421446633557
323,25.019079316733393,1.4167386760416891,3.141878252695041
324,22.58579919652278,1.4244971758028753,2.9914866503994086
325,23.23703857130814,1.4544200397160356,3.0001019777506603
326,22.978386312277237,1.4481934817566422,2.9586157291444337
327,23.401976048392555,1.5002686505602663,2.975481316086476
328,23.534689032519267,1.4934336406694237,2.995281818757302
329,23.12518878235315,1.4997318913677933,2.950729055225027
330,22.07927565752429,1.4936450279949676,3.0232948273503952
331,23.121595481099572,1.4959401784054451,3.027040393271183
332,23.103073921657174,1.473705630072464,2.975344197788466
333,23.144814737947172,1.4924712451945275,2.873695359235087
334,22.764736261405655,1.4641899724614835,2.8873463846809027
335,22.40149017734855,1.4582491023481106,2.9347128308581167
336,21.734754999077836,1.4554022864862934,2.9928106113287503
337,22.240798493295134,1.4579921196975192,2.924188694385963
338,23.248093331697223,1.4951020381549147,2.9127682172995377
339,22.89022207442584,1.457331689951149,2.9241782826204776
340,23.405950653205675,1.4451789685368384,2.906912730802132
341,23.280686198311738,1.4122422329275084,2.9429931607003863
342,21.86598270197444,1.3744247687432753,2.9220976847644784
343,22.27677887413833,1.3979253680546218,2.937886628649403
344,23.784251999867386,1.4021722490874773,2.905993331107661
345,23.063265340896017,1.4112843721722943,2.90254184916451
346,22.84456143268036,1.3785396530360656,2.9123337185405003
347,22.348883951273788,1.3901530970565987,2.909673868429111
348,22.889435451813483,1.4019304189083053,2.8934918501762845
349,22.809728403649444,1.3979172435438345,2.971773898328319
350,23.428415954953586,1.4605771861103753,2.956225847958371
351,23.28580448154093,1.457053256084285,2.947928311972683
